8111	7252	6302	4802	4086	3057	1990	1142	637	415	284	223	188	165	152	142	133	123	114	110	96	55	0
8317	7271	6326	5035	4236	3453	2420	1570	1011	784	641	587	553	531	475	443	419	387	347	277	239	204	0
8390	7295	6371	5322	4586	3640	2942	2103	1558	1275	1013	885	847	811	789	758	745	715	700	600	459	359	0
10698	9288	7795	6020	5009	3865	3196	2479	1961	1707	1317	1177	1172	1159	1150	1100	1085	1041	1031	675	517	366	0
12882	10946	9224	6791	5348	3938	3369	2685	2087	1808	1412	1347	1311	1303	1282	1260	1212	1193	1071	605	450	295	0
16982	14405	11641	7496	5662	4234	3471	2780	2229	1970	1649	1606	1591	1563	1510	1495	1400	1280	595	415	243	206	0
19441	16278	13255	8232	5971	4495	3533	3012	2653	2349	2070	2000	1980	1930	1715	1550	1359	1165	503	322	172	105	0
22781	19225	15465	9100	6603	5358	3741	3524	3166	2917	2635	2572	2467	2378	1908	1350	1005	815	302	210	126	51	0
25268	21321	17143	9141	7059	6036	4074	3855	3556	3402	3167	2986	2720	2549	1696	1105	805	595	247	105	87	39	0
28026	23599	18346	9503	7506	6516	4502	4047	3852	3599	3228	3019	2676	2458	1148	956	708	485	290	120	46	22	0
30294	25465	19383	9779	8063	7088	4826	4182	3976	3389	2968	2706	2369	1829	940	846	665	532	302	159	55	20	0
32227	27043	21068	10156	8518	7302	5113	4384	4106	3196	2769	2557	2311	1729	1158	891	817	670	402	210	75	28	0
33928	28471	22722	10512	8728	7528	5582	4709	4228	3119	2736	2504	2282	1850	1470	1160	1030	823	475	248	96	38	0
35406	29774	23890	10945	9088	8067	6267	5013	4272	3287	2769	2541	2304	1972	1718	1405	1185	969	585	289	129	61	0
36808	30988	24979	11185	9592	8576	6748	5113	4342	3410	2890	2629	2355	2066	1779	1498	1247	1030	647	347	167	81	0
38232	32141	25791	11929	10084	8940	6867	5175	4389	3465	2954	2680	2406	2128	1848	1595	1334	1118	729	409	206	101	0
39525	33222	26637	13026	10396	9347	6919	5241	4423	3580	2921	2681	2447	2170	1908	1651	1418	1204	807	468	244	121	0
40727	34244	27480	14371	10748	9701	6995	5295	4491	3620	2918	2694	2477	2209	1965	1719	1493	1281	878	523	282	142	0
41950	35224	28165	15045	11091	10522	7062	5370	4513	3668	2958	2724	2501	2247	2013	1780	1559	1349	943	576	319	162	0
